frame_of_detection,track_id_1,class_1,track_id_2,class_2,predicted_TTC_seconds
2,1,car,13,car,0.1
2,6,car,17,traffic light,1.3
2,7,car,8,car,1.4000000000000001
2,8,car,14,person,0.1
2,9,person,13,car,0.1
2,10,car,11,car,0.1
2,16,person,20,motorcycle,0.1
3,1,car,16,person,0.5
3,6,car,17,traffic light,1.6
3,8,car,14,person,0.1
3,9,person,13,car,0.1
3,9,person,16,person,1.4000000000000001
3,15,car,17,traffic light,1.5
4,1,car,16,person,0.4
4,6,car,17,traffic light,1.8
4,9,motorcycle,13,car,0.1
4,15,car,17,traffic light,1.8
5,1,car,16,person,0.30000000000000004
5,1,car,20,motorcycle,0.4
5,6,car,17,traffic light,1.9000000000000001
5,15,car,17,traffic light,1.6
6,1,car,16,person,0.30000000000000004
6,1,car,20,motorcycle,0.30000000000000004
6,3,car,8,car,0.1
6,9,person,13,car,0.1
7,1,car,16,person,0.30000000000000004
7,2,car,4,car,1.8
7,3,car,8,car,0.1
7,4,car,11,car,1.9000000000000001
7,4,car,18,car,1.2000000000000002
7,4,car,21,traffic light,0.9
7,7,car,20,car,1.8
7,8,car,20,car,0.30000000000000004
7,9,person,13,car,0.1
7,9,person,20,car,1.2000000000000002
7,16,person,20,car,0.1
8,3,car,8,car,0.1
8,4,car,18,car,1.4000000000000001
8,8,car,9,person,2.0
9,3,car,8,car,0.1
9,6,car,17,traffic light,2.0
9,7,car,20,car,1.0
9,8,car,14,person,0.1
10,3,car,8,car,0.1
10,4,car,17,traffic light,1.3
10,6,car,17,traffic light,1.6
10,7,car,20,car,1.2000000000000002
10,8,car,14,person,0.1
10,15,car,26,car,1.0
11,1,car,20,car,0.6000000000000001
11,3,car,8,car,0.1
11,4,car,17,traffic light,1.0
11,6,car,17,traffic light,1.5
11,8,car,14,person,0.1
11,9,person,20,car,1.4000000000000001
12,1,car,20,car,0.30000000000000004
12,3,car,8,car,0.1
12,6,car,17,traffic light,1.5
12,8,car,14,person,0.1
12,9,person,20,car,1.3
12,18,car,33,traffic light,0.1
13,1,car,20,person,0.1
13,3,car,8,car,0.1
13,4,car,10,car,1.5
13,4,car,11,car,1.4000000000000001
13,6,car,17,traffic light,1.7000000000000002
13,8,car,14,person,0.1
13,18,car,33,traffic light,0.1
14,1,car,20,motorcycle,0.1
14,2,car,12,person,0.1
14,2,car,18,car,0.1
14,4,car,10,car,1.7000000000000002
14,5,car,19,car,0.1
14,6,car,17,traffic light,2.0
14,18,car,33,traffic light,0.1
15,1,car,3,car,0.1
15,2,car,18,car,0.1
15,4,car,10,car,2.0
15,18,car,33,traffic light,0.1
16,1,car,3,car,0.1
16,2,car,18,car,0.1
16,4,car,10,car,2.0
16,5,car,18,car,0.1
16,6,car,26,car,1.9000000000000001
16,18,car,33,traffic light,0.1
17,2,car,18,car,0.1
17,5,car,18,car,0.1
18,2,car,11,car,0.1
19,1,car,20,person,0.1
19,2,car,11,car,0.1
19,5,car,18,car,0.1
19,10,car,11,car,0.1
19,18,car,19,car,1.6
20,1,car,20,person,0.1
20,2,car,5,car,1.3
20,2,car,11,car,0.1
20,5,car,18,car,0.1
20,9,person,20,person,1.2000000000000002
20,10,car,11,car,0.1
21,1,car,20,person,0.1
21,2,car,5,car,1.8
21,2,car,11,car,0.1
21,4,car,17,traffic light,1.6
21,5,car,18,car,0.1
21,9,person,20,person,1.0
21,10,car,11,car,0.1
22,2,car,11,car,0.1
22,4,car,17,traffic light,2.0
22,9,person,13,car,0.1
22,10,car,11,car,0.1
23,6,car,17,traffic light,1.9000000000000001
23,9,person,13,car,0.1
24,1,car,20,person,0.1
24,4,car,10,car,1.7000000000000002
24,5,car,19,car,0.1
24,9,person,13,car,0.1
24,18,car,33,traffic light,0.1
25,3,car,8,car,1.5
25,7,car,8,car,1.8
25,9,person,13,car,0.1
26,1,car,20,person,0.1
26,3,car,8,car,1.7000000000000002
26,5,car,19,car,0.1
26,9,person,13,car,0.1
26,18,car,33,traffic light,0.1
27,1,car,20,person,0.1
27,2,car,11,car,0.1
