object_pair,start_frame,end_frame,duration_frames,min_TTC_seconds
"(1, 3)",15,196,182,0.1
"(1, 20)",5,109,105,0.1
"(1, 108)",101,122,22,0.7000000000000001
"(1, 118)",70,85,16,0.1
"(1, 124)",138,185,48,1.2000000000000002
"(1, 243)",183,197,15,0.1
"(2, 8)",99,128,30,1.3
"(2, 8)",298,400,103,0.1
"(2, 10)",53,228,176,1.3
"(2, 11)",18,339,322,0.1
"(2, 12)",14,59,46,0.1
"(2, 18)",14,63,50,0.1
"(2, 124)",76,193,118,0.1
"(2, 180)",149,209,61,1.7000000000000002
"(2, 193)",140,263,124,0.1
"(3, 8)",6,235,230,0.1
"(3, 12)",53,62,10,0.8
"(3, 80)",51,64,14,0.1
"(3, 269)",180,201,22,0.1
"(4, 10)",13,24,12,1.5
"(4, 17)",10,72,63,1.0
"(5, 18)",16,62,47,0.1
"(5, 19)",14,29,16,0.1
"(5, 124)",74,106,33,0.1
"(5, 193)",132,145,14,0.1
"(6, 17)",2,49,48,1.3
"(7, 8)",2,92,91,0.6000000000000001
"(7, 8)",194,246,53,1.7000000000000002
"(7, 143)",108,155,48,0.1
"(7, 179)",246,336,91,0.1
"(7, 259)",176,206,31,0.1
"(7, 307)",204,320,117,0.1
"(7, 407)",254,319,66,0.1
"(7, 560)",337,376,40,0.1
"(7, 640)",375,481,107,0.1
"(7, 686)",398,449,52,0.1
"(7, 700)",404,497,94,0.1
"(8, 12)",35,61,27,1.2000000000000002
"(8, 14)",2,47,46,0.1
"(8, 40)",43,139,97,0.2
"(8, 80)",50,68,19,0.1
"(8, 179)",215,309,95,0.4
"(8, 180)",311,328,18,1.2000000000000002
"(8, 451)",282,304,23,0.1
"(8, 542)",331,353,23,0.1
"(8, 545)",332,377,46,0.1
"(8, 623)",363,410,48,0.1
"(8, 676)",387,423,37,0.1
"(8, 698)",420,466,47,0.1
"(8, 771)",426,469,44,0.1
"(8, 773)",432,456,25,0.1
"(8, 877)",467,495,29,0.1
"(9, 13)",2,45,44,0.1
"(9, 20)",7,34,28,1.0
"(9, 118)",70,86,17,0.1
"(9, 192)",130,155,26,0.1
"(9, 196)",138,166,29,0.1
"(9, 212)",144,171,28,0.1
"(10, 11)",2,404,403,0.1
"(10, 62)",44,72,29,1.0
"(10, 68)",52,67,16,1.4
"(10, 124)",74,103,30,1.4
"(10, 140)",145,178,34,1.6
"(10, 171)",118,145,28,1.0
"(10, 180)",148,473,326,0.1
"(10, 246)",179,200,22,1.2000000000000002
"(10, 329)",218,260,43,0.7000000000000001
"(10, 367)",251,262,12,1.4
"(10, 446)",278,289,12,1.3
"(10, 660)",377,472,96,0.1
"(10, 677)",395,419,25,0.9
"(11, 18)",32,63,32,1.1
"(11, 62)",42,58,17,1.0
"(11, 68)",52,66,15,1.6
"(11, 124)",74,145,72,0.1
"(11, 171)",118,145,28,0.9
"(11, 180)",161,231,71,0.4
"(11, 180)",313,335,23,1.1
"(11, 329)",223,245,23,1.1
"(11, 677)",389,413,25,0.5
"(14, 40)",148,173,26,1.4
"(14, 179)",134,192,59,0.5
"(17, 62)",47,123,77,1.1
"(17, 68)",42,114,73,0.9
"(17, 95)",58,69,12,0.6000000000000001
"(17, 140)",122,190,69,1.2000000000000002
"(17, 171)",120,152,33,1.1
"(17, 246)",185,265,81,0.7000000000000001
"(17, 329)",221,321,101,0.8
"(17, 367)",250,314,65,0.9
"(17, 374)",232,256,25,1.0
"(17, 446)",282,291,10,0.8
"(17, 461)",292,326,35,1.1
"(17, 526)",328,339,12,0.9
"(17, 581)",342,363,22,1.2000000000000002
"(17, 605)",348,369,22,0.8
"(18, 33)",12,58,47,0.1
"(18, 62)",42,56,15,0.7000000000000001
"(20, 108)",69,103,35,0.1
"(33, 62)",34,58,25,0.6000000000000001
"(33, 75)",48,66,19,0.1
"(33, 124)",75,110,36,0.1
"(40, 179)",119,172,54,0.4
"(62, 124)",75,95,21,0.1
"(81, 228)",167,187,21,0.1
"(81, 680)",401,501,101,0.5
"(81, 982)",525,572,48,1.2000000000000002
"(108, 118)",70,80,11,0.1
"(124, 140)",104,114,11,1.1
"(140, 185)",125,136,12,0.7000000000000001
"(171, 180)",122,132,11,1.3
"(171, 185)",125,136,12,0.3
"(179, 269)",185,202,18,0.6000000000000001
"(179, 278)",186,213,28,0.1
"(179, 524)",323,334,12,0.1
"(180, 260)",650,665,16,0.3
"(180, 415)",261,303,43,0.1
"(180, 660)",445,549,105,0.1
"(180, 677)",412,430,19,1.2000000000000002
"(180, 955)",549,560,12,0.5
"(192, 212)",147,175,29,0.1
"(193, 325)",214,255,42,0.1
"(196, 212)",144,165,22,0.1
"(212, 243)",170,186,17,0.1
"(228, 246)",169,183,15,0.4
"(253, 269)",180,191,12,0.1
"(260, 262)",185,225,41,0.1
"(260, 290)",189,207,19,0.1
"(260, 291)",190,225,36,0.1
"(260, 431)",271,290,20,0.1
"(260, 535)",330,344,15,0.2
"(260, 545)",358,395,38,0.9
"(260, 556)",345,376,32,0.1
"(260, 640)",392,474,83,0.1
"(260, 700)",403,439,37,0.6000000000000001
"(260, 732)",417,430,14,0.4
"(260, 935)",533,577,45,0.9
"(260, 966)",506,516,11,0.9
"(260, 995)",578,601,24,0.2
"(260, 1088)",558,574,17,0.1
"(260, 1173)",601,641,41,0.1
"(260, 1265)",650,665,16,1.5
"(260, 1294)",648,658,11,0.7000000000000001
"(262, 291)",212,227,16,0.1
"(307, 407)",304,319,16,0.1
"(325, 329)",218,244,27,0.5
"(325, 604)",349,528,180,0.1
"(325, 677)",418,431,14,0.3
"(325, 688)",399,556,158,0.1
"(325, 779)",430,483,54,0.1
"(325, 1034)",539,550,12,0.3
"(555, 641)",371,408,38,0.1
"(555, 677)",391,415,25,0.1
"(555, 688)",469,532,64,0.4
"(555, 852)",446,670,225,0.1
"(604, 677)",407,431,25,0.3
"(604, 688)",481,529,49,0.5
"(604, 779)",432,481,50,0.1
"(640, 686)",395,450,56,0.1
"(640, 700)",402,475,74,0.1
"(660, 677)",395,455,61,0.9
"(660, 858)",448,457,10,0.7000000000000001
"(677, 680)",390,410,21,0.1
"(680, 858)",451,460,10,0.1
"(686, 700)",405,446,42,0.1
"(688, 779)",435,483,49,0.2
"(700, 935)",491,512,22,0.1
"(771, 871)",457,469,13,0.6000000000000001
"(955, 1067)",549,623,75,0.4
"(955, 1153)",597,648,52,0.1
"(978, 995)",521,578,58,0.1
"(978, 1056)",544,613,70,0.1
"(978, 1067)",656,670,15,1.3
"(978, 1127)",574,599,26,0.1
"(986, 995)",526,575,50,0.1
"(995, 1056)",544,564,21,0.4
"(997, 1034)",540,550,11,0.7000000000000001
"(1067, 1153)",596,634,39,0.1
